stt,title,road,parking,square,price,dis_q,dis,date
7228,Cần bán gấp mảnh đất phân lô ôtô tránh la Khê Hà Đông,4m,0,36.0,"2,5 tỷ",Quận Hà Đông,"Phố Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội",05/05/2023
7229,Cần bán gấp mảnh đất phân lô đại mỗ ôtô tránh,3m,0,35.0,"2,15 tỷ",Quận Nam Từ Liêm,"Đường Đại Mỗ, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7230,BÁN GẤP MẢNH ĐẤT PHÂN LÔ KHU TƯ ĐÌNH LONG BIÊN 65M NỞ HẬU – 8.15 TỶ,7m,0,65.0,"8,15 tỷ",Quận Long Biên,"Đường Tư Đình, Phường Cự Khối, Quận Long Biên, Hà Nội",05/05/2023
7231,chỉ 6tr/m cách QL3 chỉ 200m otto đỗ đất tại Xuân Sơn - Trung Giã - Sóc Sơn,3m,0,445.0,6 triệu / m2,Huyện Sóc Sơn,"Đường Quốc Lộ 3, Xã Trung Giã, Huyện Sóc Sơn, Hà Nội",05/05/2023
7232,"BÁN ĐẤT MẶT PHỐ HOÀNG HOA THÁM 268M2, MẶT TIỀN 6.5M, GIÁ 56 TỶ CÒN THƯƠNG LƯỢNG",20m,0,268.0,56 tỷ,Quận Ba Đình,"Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",05/05/2023
7233,"BÁN ĐẤT TẶNG NHÀ  MẶT PHỐ HOÀNG HOA THÁM 34M2, GIÁ 7.6 TỶ CÒN THƯƠNG LƯỢNG.",15m,0,34.0,"7,6 tỷ",Quận Tây Hồ,"Đường Hoàng Hoa Thám, Phường Bưởi, Quận Tây Hồ, Hà Nội",05/05/2023
7234,Đất Tiên Dược- Gần TT Sóc Sơn Mà Giá Chỉ 8tr/m2,"3,5m",0,726.0,8 triệu / m2,Huyện Sóc Sơn,"Đường Quốc Lộ 3, Xã Tiên Dược, Huyện Sóc Sơn, Hà Nội",05/05/2023
7235,"Bán nhà đất Trần Cung gần Phố Hoàng Quốc Việt, sổ đỏ 128m mặt tiền 8m giá 8.4 tỷ.","2,3m",0,128.0,"8,4 tỷ",Quận Bắc Từ Liêm,"Đường Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7236,BÁN ĐẤT TẶNG NHÀ CẤP 4 TẠI LIÊN NINH THANH TRÌ HÀ NỘI,2m,0,75.0,"2,5 tỷ",Huyện Thanh Trì,"Đường Quốc Lộ 1, Xã Liên Ninh, Huyện Thanh Trì, Hà Nội",05/05/2023
7237,"Bán đất đấu giá xóm Đầm 91m2, đường thông mặt tiền 5,2m giá nhỉnh 3 tỷ",6m,0,91.0,"3,2 tỷ",Huyện Đông Anh,"Đường Võ Nguyên Giáp, Xã Vân Nội, Huyện Đông Anh, Hà Nội",05/05/2023
7238,"Chính chủ cần bán gấp mảnh đất xóm 1 Quỳnh Đô, xã Vĩnh Quỳnh, Thanh Trì, Hà Nội.",2m,0,50.0,55 triệu / m2,Huyện Thanh Trì,"Đường Quỳnh Đô, Xã Vĩnh Quỳnh, Huyện Thanh Trì, Hà Nội",05/05/2023
7239,"BÁN ĐẤT MẶT ĐÊ NGUYỄN KHOÁI, Ô TÔ TRÁNH, KINH DOANH ĐA DẠNG",5m,1,98.0,"7,4 tỷ",Quận Hoàng Mai,"Đường Nguyễn Khoái, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",05/05/2023
7240,"Bán đất tái định cư X2A Yên Sở, bán đất tặng nhà 50 m2 6 tỷ",7m,0,50.0,"6,15 tỷ",Quận Hoàng Mai,"Phường Yên Sở, Quận Hoàng Mai, Hà Nội",05/05/2023
7241,"Bán đất LÔ GÓC Tái Định Cư X2A, Yên Sở Hoàng Mai, sát vách GAMUDA City, 60 m2, 6 tỷ 850tr",10m,0,60.0,"6,85 tỷ",Quận Hoàng Mai,"Phường Yên Sở, Quận Hoàng Mai, Hà Nội",05/05/2023
7242,Bán 102m đất Xuân Đỉnh ngay gần công viên hoà bình.,3m,0,102.0,8 tỷ,Quận Bắc Từ Liêm,"Đường Đỗ Nhuận, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7243,"Bán 52m2 đất ngõ 205 Xuân Đỉnh 3,4 tỷ.",3m,0,52.0,"3,4 tỷ",Quận Bắc Từ Liêm,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7244,Bán đất mặt đường ô tô tránh nhau 62m có thể chia tách 2 thửa được.,6m,0,62.0,115 triệu / m2,Quận Bắc Từ Liêm,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7245,Bán đất 53m2 mặt đường 205 Xuân Đỉnh gần đại sứ quán Hàn Quốc.,6m,0,53.0,"6,2 tỷ",Quận Bắc Từ Liêm,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7246,"bán đất DT:40m2, Hậu ái, Vân Canh, ngay khu đô thị HUD, 30m ra đường 24m.","2,5m",0,40.0,"2,45 tỷ",Huyện Hoài Đức,"Tỉnh lộ 422, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",05/05/2023
7247,"Mảnh đất hái ra ""Vàng"" Xuân Thủy-Hồ Tùng Mậu. Lô góc, vuông đẹp, ngõ rộng. Xây CCMN Đỉnh!!",3m,0,180.0,14 tỷ,Quận Cầu Giấy,"Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",05/05/2023
7248,"Bán đất khu tái định cư X2A Yên Sở, Hoàng Mai, diện tích 80m2, mt 5m giá thỏa thuận",18m,0,80.0,"11,5 tỷ",Quận Hoàng Mai,"Đường Vành Đai 3, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",05/05/2023
7249,"Bán đất phố Hoàng Cầu, Ô tô đỗ cửa, 200M,Mặt tiền 10M,Giá: 34 Tỷ",3m,0,200.0,34 tỷ,Quận Đống Đa,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",05/05/2023
7250,"BÁn đất Yên Hà, Hải Bối ô tô 48m 1.5 tỷ Đông Anh",3m,0,48.0,"1,5 tỷ",Huyện Đông Anh,"Xã Hải Bối, Huyện Đông Anh, Hà Nội",05/05/2023
7251,"Bán đất đường mới Bầu KIm Chung, Đông Anh vỉa hè Kinh doanh 310m 22 tỷ",19m,0,310.0,22 tỷ,Huyện Đông Anh,"Đường Đa Lộc, Xã Kim Chung, Huyện Đông Anh, Hà Nội",05/05/2023
7252,Cc nhờ bán Đất Sắp Mai Võng La Thông Ô TÔ tránh 55m 1.6 Tỷ,5m,0,55.0,"1,6 tỷ",Huyện Đông Anh,"Đường Sáp Mai, Xã Võng La, Huyện Đông Anh, Hà Nội",05/05/2023
7253,"Bán Đất Phân Lô Vỉa Hè, Ô TÔ tránh Sắp Mai Võng La.",6m,0,82.0,"3,15 tỷ",Huyện Đông Anh,"Đường Sáp Mai, Xã Võng La, Huyện Đông Anh, Hà Nội",05/05/2023
7254,BÁN ĐẤT BẦU KIM CHUNG Ô TÔ VÀO NHÀ 43M 1.6 TỶ ĐÔNG ANH,4m,0,43.0,"1,6 tỷ",Huyện Đông Anh,"Đường Đa Lộc, Xã Kim Chung, Huyện Đông Anh, Hà Nội",05/05/2023
7255,"Nhuế Kim Chung Đông Anh bán 50m lô góc, ô tô 2.45 tỷ","3,5m",0,50.0,"2,45 tỷ",Huyện Đông Anh,"Xã Kim Chung, Huyện Đông Anh, Hà Nội",05/05/2023
7256,"Bán 56m, Đất, giá 2.1 tỷ, oto 7 chỗ, Phương Trạch, Vĩnh Ngọc, Đông Anh",5m,0,56.0,"2,1 tỷ",Huyện Đông Anh,"Đường Hoàng Sa, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà Nội",05/05/2023
7257,"Bán Đất Sáp Mai Võng La, ÔTÔ 57m 1.96 tỷ Đông Anh",3m,0,57.0,"1,96 tỷ",Huyện Đông Anh,"Xã Kim Chung, Huyện Đông Anh, Hà Nội",05/05/2023
7258,"Bán Đất Ô TÔ Nam Hồng ,Đông Anh 58m 2.1 Tỷ.l",4m,0,58.0,"2,1 tỷ",Huyện Đông Anh,"Đường Thôn Đìa-Nam Hồng, Xã Nam Hồng, Huyện Đông Anh, Hà Nội",05/05/2023
7259,Bán 41m đất Vân Trì Vân Nội giá 1.26 cách ô tô tránh 100m Đông Anh,3m,0,41.0,"1,26 tỷ",Huyện Đông Anh,"Đường Văn Nội, Xã Vân Nội, Huyện Đông Anh, Hà Nội",05/05/2023
7260,"Bán đất Tàm Xá, Đông anh, Phân Lô Ô TÔ tải tránh 96m 5.1 tỷ.",7m,0,96.0,"5,1 tỷ",Huyện Đông Anh,"Đường Hoàng Sa, Xã Tàm Xá, Huyện Đông Anh, Hà Nội",05/05/2023
7261,Bán Đất Cổ Điển Hải Bối Đông Anh Ô TÔ 60m 2.3 Tỷ,3m,0,60.0,"2,3 tỷ",Huyện Đông Anh,"Xã Hải Bối, Huyện Đông Anh, Hà Nội",05/05/2023
7262,"Bán 285m đất Vân Trì Vân Nội ôtô đua, thông, 10.2 tỷ Đông Anh","5,5m",0,285.0,"10,2 tỷ",Huyện Đông Anh,"Đường Quốc lộ 23B, Xã Vân Nội, Huyện Đông Anh, Hà Nội",05/05/2023
7263,BÁN ĐẤT MẶT PHỐ QUẬN HOÀNG MAI GIÁ 135tr/M2,20m,0,222.0,30 tỷ,Quận Hoàng Mai,"Phố Nguyễn Đức Cảnh, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",05/05/2023
7264,BÁN ĐẤT NGUYỄN KHANG PHÂN LÔ XÂY KHÁCH SẠN TÒA NHÀ GIÁ RẺ NHẤT KHU VỰC,10m,0,101.0,"23,5 tỷ",Quận Cầu Giấy,"Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",05/05/2023
7265,BÁN ĐẤT TÂY HỒ 30tr/m2 Ô TÔ VÀO NHÀ CÁCH HỒ 50m SỔ ĐỎ,4m,0,195.0,"6,2 tỷ",Quận Tây Hồ,"Đường Quảng Bá, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7266,BÁN MẢNH ĐẤT VÀNG MT14m NGÕ Ô TÔ LÔ GÓC MỸ ĐÌNH,3m,0,162.0,"13,5 tỷ",Quận Nam Từ Liêm,"Đường Lê Quang Đạo, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7267,MẢNH ĐẤT SIÊU ĐẸP QUẬN CẦU GIẤY TÒA NHÀ VĂN PHÒNG KHÁCH SẠN ĐẲNG CẤP,10m,0,147.0,35 tỷ,Quận Cầu Giấy,"Phố Dịch Vọng Hậu, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",05/05/2023
7268,"Bán gấp mảnh đất Mặt phố Phạm Văn Đồng,DT: 200m2 giá 150 triệu/m2",50m,0,200.0,30 tỷ,Quận Bắc Từ Liêm,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7269,"Bán đất Thúy Lĩnh- Lĩnh Nam ,  GIÁ 1,65 TỶ 🌺DIỆN TÍCH: 30 m2",0m,0,31.0,"1,65 tỷ",Quận Hoàng Mai,"Đường Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7270,"🏡Bán đất Thúy Lĩnh- Lĩnh Nam ,  GIÁ 1,55 TỶ 🌺DIỆN TÍCH: 30 m2",0m,0,30.0,"1,55 tỷ",Quận Hoàng Mai,"Đường Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7271,"Bán nhà mặt phố Đặng Tiến Đông, kinh doanh đỉnh, DTXD35m2, MT4.5m.",10m,1,30.0,9 tỷ,Quận Đống Đa,"Phố Đặng Tiến Đông, Phường Trung Liệt, Quận Đống Đa, Hà Nội",05/05/2023
7272,"🏡Bán đất Thúy Lĩnh- Lĩnh Nam ,  GIÁ 1,7 TỶ",0m,0,31.0,"1,7 tỷ",Quận Hoàng Mai,"Đường Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7273,"Bán đất ngõ 221 Vĩnh Hưng, ngõ nông, oto gần DT 33m2, MT 4.2m, 2.2 tỷ Hoàng Mai",0m,0,33.0,"2,2 tỷ",Quận Hoàng Mai,"Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",05/05/2023
7274,"Bán đất ngõ 362 Nam Dư- Lĩnh Nam, DT 60m2, MT 5m 3,3 tỷ",0m,0,60.0,"3,3 tỷ",Quận Hoàng Mai,"Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7275,"Bán đất ngõ 362 Nam Dư- Lĩnh Nam, oto gần nhà DT 47m2, MT 4.7m giá chỉ 3 tỷ",2m,0,47.0,3 tỷ,Quận Hoàng Mai,"Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7276,"Bán đất ngõ 479 Lĩnh Nam 47m2, MT 5m, giá chỉ 2.95",3m,1,47.0,"2,95 tỷ",Quận Hoàng Mai,"Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7277,"Hiếm!!! Bán đất Ngõ 126 Nam Dư- Lĩnh Nam, oto đỗ cổng DT 48m2, MT3.6m, 3.2 tỷ",3m,0,48.0,"3,2 tỷ",Quận Hoàng Mai,"Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",05/05/2023
7278,"Bán đất tái định cư Gia Lâm 140m2, mặt tiền 7m đầu tư hay xây đều đẹp giá mềm",10m,1,140.0,18 tỷ,Huyện Gia Lâm,"Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",05/05/2023
7279,Chính chủ cần bán mảnh đất 50m2 ô tô tránh Ngọc Thụy chưa tới 4 tỷ,5m,0,50.0,4 tỷ,Quận Long Biên,"Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",05/05/2023
7280,"Long Biên view hồ 360m2, đầu tư, xây biệt thự 15 tỷ, ô tô tránh.",9m,0,360.0,15 tỷ,Quận Long Biên,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",05/05/2023
7281,Chỉ có 70 triệu/m2 mảnh đất ngõ thông ô tô tránh Phúc Lợi đầu tư giữ tiền giá tốt 🎉,10m,0,100.0,7 tỷ,Quận Long Biên,"Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",05/05/2023
7282,"Bán nhà phân lô 60m2 Nguyễn Mậu Tài, Gia Lâm vỉa hè, ô tô tránh nhỉnh 100tr/m2 🎊",16m,0,60.0,7 tỷ,Huyện Gia Lâm,"Đường Nguyễn Mậu Tài, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",05/05/2023
7283,"Ô góc 2 mặt tiền giữa khu du lịch, khu dân cư, giữa 2 tỉnh lộ quá rẻ",4m,0,46.0,370 triệu,Huyện Mỹ Đức,"Xã Hương Sơn, Huyện Mỹ Đức, Hà Nội",05/05/2023
7284,SỐC! BÁN ĐẤT CẦU GIẤY 173M TẶNG NHÀ 6 TẦNG DÒNG TIỀN 60TR/TH CHỈ 70TR/M LH 098xxxxx66,3m,0,173.0,"12,7 tỷ",Quận Cầu Giấy,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",05/05/2023
7285,Cần bán Đất phố Âu Cơ.Dt 1989 m2,40m,0,1989.0,200 tỷ,Quận Tây Hồ,"Đường Âu Cơ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",05/05/2023
7286,Cần bán Đất trên phố YÊN PHỤ.TÂY HỒ,"6,4m",0,152.0,48 tỷ,Quận Tây Hồ,"Đường Yên Phụ, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",05/05/2023
7287,Cần bán Đất trên phố Thụy Khuê.Tây Hồ,12m,0,133.0,"17,7 tỷ",Quận Tây Hồ,"Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội",05/05/2023
7288,"Bán Mảnh Đất Cực Hiếm Phú Diễn 2 Tỷ,  34m2","2,5m",1,34.0,2 tỷ,Quận Bắc Từ Liêm,"Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7289,"💥 Siêu Hiếm, Chỉ 2,25 Tỷ , Bán Đất Tặng Nhà C4 Đức Diễn, Từ Liêm 37m2 x 4,2m MT","2,5m",1,37.0,"2,25 tỷ",Quận Bắc Từ Liêm,"Đường Đức Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7290,"VĂN TRÌ - BÁN ĐẤT 51M2 - 50M RA Ô TÔ - MẶT TIỀN RỘNG - 2,25 TỶ",3m,1,51.0,"2,25 tỷ",Quận Bắc Từ Liêm,"Đường Văn Trì 2, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7291,BÁN ĐẤT PHƯƠNG CANH - 53m2 - XÂY NHÀ HOẶC CCMN  - Ô TÔ VÀO NHÀ,"3,5m",1,53.0,"3,85 tỷ",Quận Nam Từ Liêm,"Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7292,BÁN LÔ ĐẤT VĂN TRÌ NHỈNH 2 TỶ - 50M2- OTO 4 CHỖ ĐỖ CỬA - NGÕ RỘNG THOÁNG,"2,5m",1,50.0,"2,5 tỷ",Quận Bắc Từ Liêm,"Đường Văn Trì 2, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7293,"Bán đất Cầu Diễn, 38m2, Oto đỗ cửa, Kinh doanh, 2 Tỷ 8",3m,1,38.0,"2,8 tỷ",Quận Bắc Từ Liêm,"Đường Cầu Diễn, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7294,"Mặt phố Cầu Giấy - 1300m2 mặt tiền siêu rộng, giá đầu tư.",50m,0,13000.0,200 triệu / m2,Quận Cầu Giấy,"Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",05/05/2023
7295,"Đất Vàng Lạc Long Quân, diện tích 140m2, MT 9m, 30 tỷ, ngõ ô tô, thông, kinh doanh",7m,0,140.0,30 tỷ,Quận Tây Hồ,"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội",05/05/2023
7296,"Mặt phố Yên Duyên, Kinh doanh bất chấp, 85m2, mặt tiền 5.6m chỉ 15.3 tỷ",8m,0,85.0,"15,3 tỷ",Quận Hoàng Mai,"Đường Yên Duyên, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",05/05/2023
7297,"SIÊU HIẾM Phố Đại Cồ Việt, 200m2 Đất, mặt tiền 15m, giá chỉ 38.8 tỷ, vỉa hè, kinh doanh",15m,0,200.0,"38,8 tỷ",Quận Hai Bà Trưng,"Đường Đại Cồ Việt, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",05/05/2023
7298,"HIẾM đất Xuân Diệu 34m2, mặt tiền 5m, giá 4 tỷ, cách phố 10m, SĐCC",4m,0,34.0,4 tỷ,Quận Tây Hồ,"Đường Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7299,"Mặt phố Thụy Khuê, vỉa hè rộng – kinh doanh, lô góc, 88m2, mặt tiền 5m6 chỉ 19 tỷ",8m,0,88.0,19 tỷ,Quận Tây Hồ,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",05/05/2023
7300,"Phân lô An Dương, 2 mặt đường oto tránh, mặt tiền rộng,80m2 chỉ 11.5 tỷ",8m,0,80.0,"11,5 tỷ",Quận Tây Hồ,"Phố An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",05/05/2023
7301,"MP Tô Ngọc Vân, mặt tiền khủng, 671m2, 310 tỷ",20m,0,671.0,310 tỷ,Quận Tây Hồ,"Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội",05/05/2023
7302,"Tây Hồ ngõ thông, oto – lô góc – kinh doanh, mặt tiền khủng, 513m2, 55 tỷ",5m,0,512.0,55 tỷ,Quận Tây Hồ,"Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",05/05/2023
7303,"Cần bán lô đất Kiêu Kỵ, Gia lâm, Hà nội, cạnh  Quận Ocean Park 1 , 188m2, SĐCCđất",5m,0,188.0,42 triệu / m2,Huyện Gia Lâm,"Đường Kiêu Kỵ, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",05/05/2023
7304,"Cần bán gấp lô đất Phố Trạm, 66 m2, mặt tiền 6,6 m, giá chỉ 6 tỷ.",6m,0,66.0,6 tỷ,Quận Long Biên,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",05/05/2023
7305,👉 Bán Đất Đẹp - Nam Hồng - Đông Anh - Lô Góc - Ngõ Thông - Ô Tô Vào Tận Đất 👌,4m,0,42.0,"2,3 tỷ",Huyện Đông Anh,"Đường Cầu Lớn-Nam Hồng, Xã Nam Hồng, Huyện Đông Anh, Hà Nội",05/05/2023
7306,💥💥💥 Bán Đất Đẹp * Nam Hồng * Đông Anh * Ngõ Thông Rộng * Ô Tô Vào Tận Đất 💥💥💥,5m,0,70.0,"4,2 tỷ",Huyện Đông Anh,"Đường Quốc lộ 23, Xã Nam Hồng, Huyện Đông Anh, Hà Nội",05/05/2023
7307,👉 Bán Đất Đẹp - Thụy Lâm - Đông Anh - Ngõ Thông - Ô Tô Vào Tận Đất 👌,3m,0,80.0,"1,75 tỷ",Huyện Đông Anh,"Đường Thụy Lâm, Xã Thụy Lâm, Huyện Đông Anh, Hà Nội",05/05/2023
7308,🔥 HÓT HÓT HÓT 🔥 Đông Anh Chưa Bao Giờ Hết Sốt 👌 Ô Tô Vào Đất - Khu Vực Kinh Doanh 👌,3m,0,32.0,"1,5 tỷ",Huyện Đông Anh,"Đường Thiết Bị Điện, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",05/05/2023
7309,"Bán đất Giang Biên. Diện tích 40m, mặt tiền 4m, giá 110tr/m.",12m,1,40.0,110 triệu / m2,Quận Long Biên,"Phố Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",05/05/2023
7310,"Bán đất mặt phố Lâm Hạ, Hồng Tiến 160m, mặt tiền 10m, giá 180tr/m.",25m,0,160.0,180 triệu / m2,Quận Long Biên,"Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội",05/05/2023
7311,"Bán đất Việt Hưng. Diện tích 93m, mặt tiền 6m, giá 18tỷ",20m,0,93.0,18 tỷ,Quận Long Biên,"Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",05/05/2023
7312,"Bán đất Kim Quan Thượng, Việt Hưng. Diện tích 56m, mặt tiền 5m, giá 150tr/m.",12m,0,56.0,150 triệu / m2,Quận Long Biên,"Đường Kim Quan Thượng, Phường Việt Hưng, Quận Long Biên, Hà Nội",05/05/2023
7313,"SIÊU PHẨM ĐẦU TƯ, MẶT PHỐ KIM NGƯU 86M, ĐẤT MT 4.5M , HẬU 4.58, CHIA LÔ ,VỈA HÈ KINH DOANH",18m,0,86.0,230 triệu / m2,Quận Hai Bà Trưng,"Phố Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",05/05/2023
7314,"MẶT PHỐ GIÁP BÁT 51M  TẦNG MT 3.6M - Ô TÔ TRÁNH, KINH DOANH SẦM UẤT, SDCC, PHÂN LÔ",10m,1,51.0,"8,4 tỷ",Quận Hoàng Mai,"Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",05/05/2023
7315,"Bán đất thổ cư mặt tiền 9mét đường Tân Nhuệ,p Thụy Phương,q Bắc Từ Liêm, TP Hà Nội",9m,0,133.0,70 triệu / m2,Quận Bắc Từ Liêm,"Đường Tân Nhuệ, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7316,"Đầu tư. Nguyễn Xiển, lô góc 2 mặt ngõ ô tô. 135m2, MT18m chỉ 11 tỷ",3m,0,135.0,11 tỷ,Quận Hoàng Mai,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",05/05/2023
7317,"Cực hiếm. Bán đất Nguyễn Xiển, Lô góc 3 mặt tiền. Ô tô tránh, KD 360m2, MT20m, chỉ 130tr/m",8m,0,360.0,130 triệu / m2,Quận Thanh Xuân,"Đường Nguyễn Xiển, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",05/05/2023
7318,Siêu phẩm nghỉ dưỡng 2540m2 nở hậu sổ hồng hà nội view thoáng tại yên bình - thạch thất,5m,0,2540.0,"4,5 triệu / m2",Huyện Thạch Thất,"Xã Yên Bình, Huyện Thạch Thất, Hà Nội",05/05/2023
7319,Siêu phẩm lô đất nghỉ dưỡng 1136m2 bám hồ cố đụng view cao thoáng tại tiến xuân – thạch th,5m,0,1136.0,"5,5 triệu / m2",Huyện Thạch Thất,"Xã Tiến Xuân, Huyện Thạch Thất, Hà Nội",05/05/2023
7320,"Bán đất Tân Xã - Thạch Thất sát khu Công Nghệ Cao Hoà Lạc 88m2 ngang 5m xây trọ tuyệt vời,",5m,1,88.0,"1,6 tỷ",Quận Bắc Từ Liêm,"Đường Quốc lộ 32, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7321,"Bán đất Tân Xã - Thạch Thất sát khu Công Nghệ Cao Hoà Lạc 88m2 ngang 5m xây trọ tuyệt vời,",5m,1,88.0,"1,6 tỷ",Quận Bắc Từ Liêm,"Đường Quốc lộ 32, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
7322,"Bán gấp bán rẻ mảnh đất Hoà Lạc - Thạch Thất, đầu tư / xây chung cư mini, 80m2 giá 1.5 tỷ",8m,1,80.0,"1,5 tỷ",Quận Nam Từ Liêm,"Đường Đại Lộ Thăng Long, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",05/05/2023
7323,"Cần bán gấp 36m2 đất thổ tại xã Di Trạch, huyện Hoài Đức. cách đường ô tô 15m giá hơn tỷ","2,0m",0,36.0,"1,8 tỷ",Huyện Hoài Đức,"Tỉnh lộ 422, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",05/05/2023
7324,"Bán gấp 46m2 đất dịch vụ Tân Việt, Đức Thượng, Hoài Đức giá nhỉnh 3 tỷ","9,0m",0,46.0,"3,25 tỷ",Huyện Hoài Đức,"Đường Quốc lộ 32, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội",05/05/2023
7325,"BÁN MẢNH ĐẤT MẶT PHỐ 315M2 MẶT TIÊN 18M CỰC KHỦNG, GIÁ NHỈNH 100TR/M2 Ở VÂN CANH HOÀI ĐỨC",20m,1,315.0,35 tỷ,Huyện Hoài Đức,"Tỉnh Lộ 422B, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",05/05/2023
7326,Bán mảnh đất thổ cư Phú Minh 43m2 ô tô 7 chỗ qua đất 2 tỷ 8,4m,0,43.0,"2,8 tỷ",Quận Bắc Từ Liêm,"Đường Phú Minh, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",05/05/2023
